"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Помещение файла перед началом сценария","0","0","1","0","0"
"","","Проверка выполнения сценария передача таблицы","0","0","1","0","0"
